Level 1,Level 2,Level 3,Level 4,Level 5,Level 6
初等数学知识点,代数,整式,单项式,单项式,
初等数学知识点,代数,整式,多项式,多项式,
初等数学知识点,代数,集合,集合的表示法,集合，表示，列举法，描述法，图示法,
初等数学知识点,代数,集合,元素和集合的关系,∈，in，notin,
初等数学知识点,代数,集合,集合的分类,有限集,有限集
初等数学知识点,代数,集合,集合的分类,无限集,无限集合
初等数学知识点,代数,集合,集合的分类,数集,数集
初等数学知识点,代数,集合,集合的分类,点集,点集
初等数学知识点,代数,集合,常用的数集符号,非负整数集（自然数集）N,自然数集N
初等数学知识点,代数,集合,常用的数集符号,正整数集N^*,N^*，正整数集
初等数学知识点,代数,集合,常用的数集符号,整数集Z,整数集，Z
初等数学知识点,代数,集合,常用的数集符号,有理数集Q,有理数集，Q
初等数学知识点,代数,集合,常用的数集符号,实数集R,实数集，R
初等数学知识点,代数,集合,常用的数集符号,复数集合,复数集，C
初等数学知识点,代数,集合,集合之间的关系,子集,集合，子集，\subseteq， \supseteq，\nsubseteq ，\nsupseteq
初等数学知识点,代数,集合,集合之间的关系,真子集,集合，真子集，\nsubseteq， \nsupseteqq
初等数学知识点,代数,集合,集合之间的关系,集合相等,集合，=
初等数学知识点,代数,集合,集合之间的关系,交集,集合，交集，\cap
初等数学知识点,代数,集合,集合之间的关系,并集,集合，并集，\cup
初等数学知识点,代数,集合,集合之间的关系,补集,集合，补集 ，complement
初等数学知识点,代数,集合,全集,集合，全集,
初等数学知识点,代数,集合,空集,集合，空集，\varnothing,
初等数学知识点,代数,集合,Venn图,维恩图，Venn图，表示，集合,
初等数学知识点,代数,集合,集合中子集的个数,集合，子集，个数,
初等数学知识点,代数,集合,集合中元素的个数,集合，元素，个数,
初等数学知识点,代数,集合,偶数集,偶数集,
初等数学知识点,代数,集合,奇数集,奇数集,
初等数学知识点,代数,命题,原命题,原命题,
初等数学知识点,代数,命题,逆命题,逆命题,
初等数学知识点,代数,命题,否命题,否命题,
初等数学知识点,代数,命题,逆否命题,逆否命题,
初等数学知识点,代数,函数,函数的定义,函数关系,
初等数学知识点,代数,函数,映射,映射,
初等数学知识点,代数,函数,函数的定义域,函数，定义域,
初等数学知识点,代数,函数,函数的值域,函数，值域,
初等数学知识点,代数,函数,函数相等,同一函数,
初等数学知识点,代数,函数,分段函数,分段函数,
初等数学知识点,代数,函数,区间,闭区间,闭区间
初等数学知识点,代数,函数,区间,开区间,开区间
初等数学知识点,代数,函数,区间,半开半闭区间,半开半闭区间
初等数学知识点,代数,函数,无穷大,infty,
初等数学知识点,代数,函数,区间在数轴上的表示,区间，数轴，表示，函数,
初等数学知识点,代数,函数,复合函数,复合函数,
初等数学知识点,代数,函数,函数的表示方法,解析法，函数，表示,
初等数学知识点,代数,函数,函数的表示方法,列表法，函数，表示,
初等数学知识点,代数,函数,函数的表示方法,图像法，函数，表示,
初等数学知识点,代数,函数,增函数,增函数,
初等数学知识点,代数,函数,减函数,减函数,
初等数学知识点,代数,函数,单调性与单调区间,单调，递增，递减,
初等数学知识点,代数,函数,函数的最值,函数，最大值，最小值,
初等数学知识点,代数,函数,奇函数,奇函数,
初等数学知识点,代数,函数,偶函数,偶函数,
初等数学知识点,代数,函数,函数的奇偶性,奇偶性，奇函数，偶函数,
初等数学知识点,代数,函数,图像变化的四种形式,平移变换,图像，平移，单位长度
初等数学知识点,代数,函数,图像变化的四种形式,伸缩变换,图像，变为，倍
初等数学知识点,代数,函数,图像变化的四种形式,对称变换,关于，对称，图像
初等数学知识点,代数,函数,图像变化的四种形式,翻折变化,图像，沿，翻折
初等数学知识点,代数,函数,指数函数,方根,方根，开方
初等数学知识点,代数,函数,指数函数,指数幂,幂
初等数学知识点,代数,函数,指数函数,指数函数的概念,指数函数
初等数学知识点,代数,函数,指数函数,指数函数的图像和性质,指数函数，图像
初等数学知识点,代数,函数,指数函数,底数对指数函数的影响,底数，指数函数
初等数学知识点,代数,函数,对数函数,对数函数的定义，图像和性质,对数函数，图像
初等数学知识点,代数,函数,对数函数,底数对对数函数的影响,底数，对数函数
初等数学知识点,代数,函数,对数函数,对数的应用,log，In
初等数学知识点,代数,函数,对数函数,对数函数的应用,函数，log，In
初等数学知识点,代数,函数,反函数,反函数,
初等数学知识点,代数,函数,对数函数和指数函数的关系,对数函数，指数函数,
初等数学知识点,代数,函数,幂函数,幂函数的概念,幂函数
初等数学知识点,代数,函数,幂函数,幂函数的图像和性质,幂函数，图像
初等数学知识点,代数,函数,函数与方程,函数的零点,函数，零点
初等数学知识点,代数,函数,函数与方程,二分法,二分法
初等数学知识点,代数,函数,函数与方程,二次函数的性质,二次函数
初等数学知识点,几何,空间几何体,多面体,,
初等数学知识点,统计,,,,
初等数学知识点,概率,,,,
初等数学知识点,其他,,,,
